21, 8, 42, 20, 26, 46, 15
7, 1, 19, 18, 37, 34, 38
5, 6, 43, 5, 16, 12, 36
18, 47, 9, 47, 12, 10, 38
27, 27, 18, 2, 13, 44, 3
6, 25, 4, 33, 28, 3, 38
14, 7, 30, 16, 26, 20, 16
12, 1, 29, 6, 29, 44, 12
10, 25, 40, 47, 32, 26, 48
5, 8, 24, 23, 27, 40, 45
13, 45, 24, 11, 24, 13, 12
31, 16, 36, 12, 36, 23, 35
44, 40, 18, 7, 10, 35, 44
22, 12, 42, 37, 19, 46, 35
31, 21, 34, 6, 38, 6, 20
46, 19, 18, 1, 34, 17, 15
23, 28, 32, 1, 30, 14, 34
32, 12, 9, 41, 36, 20, 31
43, 33, 10, 27, 45, 36, 48
15, 14, 29, 45, 15, 29, 15
17, 6, 31, 29, 17, 17, 4
16, 15, 43, 26, 24, 34, 43
44, 21, 41, 49, 47, 37, 33
48, 28, 42, 2, 1, 36, 34
48, 35, 30, 9, 36, 49, 26
24, 5, 35, 4, 34, 20, 31
21, 38, 14, 39, 34, 15, 17
20, 30, 42, 46, 14, 27, 27
23, 34, 34, 4, 1, 43, 17
9, 43, 15, 37, 26, 8, 37
13, 16, 36, 37, 9, 39, 10
28, 5, 31, 20, 15, 7, 12
1, 6, 26, 47, 49, 24, 16
16, 35, 2, 29, 45, 10, 41
23, 28, 6, 35, 14, 36, 16
12, 46, 18, 4, 43, 4, 35
13, 45, 10, 46, 1, 46, 38
47, 20, 20, 11, 32, 32, 6
30, 42, 3, 29, 10, 1, 35
34, 19, 40, 13, 32, 25, 44
18, 28, 40, 40, 31, 20, 9
1, 9, 47, 34, 6, 47, 1
32, 48, 9, 34, 38, 4, 35
35, 35, 25, 10, 1, 17, 6
1, 28, 48, 13, 44, 44, 13
25, 12, 40, 38, 44, 23, 28
6, 28, 20, 23, 38, 18, 28
26, 1, 13, 18, 3, 11, 43
13, 43, 34, 48, 3, 22, 34
43, 16, 21, 41, 22, 41, 23
2, 46, 13, 45, 45, 48, 46
13, 13, 30, 25, 9, 42, 47
7, 25, 43, 26, 21, 25, 39
4, 3, 40, 46, 41, 40, 5
45, 43, 9, 20, 28, 1, 10
26, 11, 4, 8, 38, 19, 10
13, 15, 8, 16, 13, 13, 2
11, 22, 49, 44, 11, 28, 26
38, 48, 15, 8, 18, 3, 20
43, 39, 13, 4, 24, 41, 33
31, 22, 15, 22, 45, 42, 11
3, 32, 48, 28, 4, 45, 26
21, 24, 7, 41, 4, 16, 28
22, 6, 17, 3, 8, 10, 32
33, 47, 47, 32, 15, 12, 30
37, 29, 15, 29, 16, 38, 31
17, 13, 24, 23, 30, 21, 11
28, 48, 31, 45, 1, 26, 43
26, 3, 3, 35, 38, 4, 11
46, 30, 19, 37, 42, 22, 25
18, 22, 25, 10, 41, 18, 20
29, 33, 14, 34, 29, 41, 39
33, 14, 29, 45, 34, 9, 24
30, 14, 24, 22, 24, 26, 41
14, 29, 19, 46, 25, 7, 35
21, 48, 40, 38, 31, 27, 29
37, 39, 11, 19, 22, 28, 32
18, 49, 11, 16, 9, 23, 31
38, 22, 19, 6, 49, 39, 39
29, 7, 6, 41, 30, 16, 49
27, 39, 28, 4, 39, 15, 31
18, 33, 21, 17, 49, 30, 24
22, 43, 19, 37, 8, 18, 1
11, 5, 5, 11, 12, 5, 11
22, 19, 17, 5, 2, 22, 32
38, 31, 37, 6, 33, 48, 43
48, 44, 9, 27, 20, 32, 2
1, 10, 25, 35, 14, 24, 18
44, 18, 30, 30, 46, 20, 32
39, 37, 23, 28, 36, 40, 38
12, 12, 37, 18, 11, 29, 6
35, 27, 1, 16, 28, 14, 44
34, 40, 11, 27, 13, 27, 38
13, 44, 29, 44, 4, 2, 25
16, 1, 6, 1, 17, 39, 43
16, 36, 7, 32, 18, 6, 23
8, 37, 46, 16, 17, 4, 12
44, 44, 32, 7, 4, 28, 8
29, 23, 8, 8, 22, 25, 28
26, 46, 28, 43, 8, 26, 22
14, 31, 49, 16, 5, 9, 43
37, 14, 10, 28, 12, 41, 10
31, 5, 6, 34, 23, 27, 37
27, 39, 39, 42, 2, 14, 32
26, 4, 15, 8, 25, 40, 3
30, 16, 41, 15, 40, 43, 7
17, 18, 23, 15, 46, 39, 44
27, 17, 31, 38, 5, 40, 18
38, 47, 47, 40, 9, 8, 31
8, 14, 41, 32, 43, 41, 9
29, 7, 17, 11, 29, 18, 23
33, 1, 30, 36, 35, 46, 49
46, 40, 34, 18, 35, 2, 32
26, 41, 7, 27, 32, 41, 3
13, 13, 27, 7, 27, 25, 5
44, 30, 1, 40, 45, 31, 36
18, 10, 2, 20, 33, 26, 8
25, 2, 30, 47, 31, 5, 21
28, 37, 2, 34, 32, 11, 13
1, 49, 7, 31, 27, 32, 25
25, 16, 21, 38, 1, 15, 34
48, 22, 8, 3, 35, 6, 15
26, 12, 27, 43, 24, 37, 27
34, 11, 1, 25, 21, 3, 3
10, 19, 7, 21, 9, 12, 25
8, 23, 43, 20, 35, 31, 17
46, 3, 36, 18, 18, 7, 47
7, 41, 39, 34, 8, 31, 22
18, 37, 42, 24, 22, 40, 23
5, 30, 19, 16, 22, 10, 2
29, 17, 43, 45, 40, 19, 28
15, 39, 34, 16, 18, 16, 49
43, 23, 10, 48, 19, 32, 45
4, 9, 2, 21, 47, 25, 13
1, 16, 44, 31, 38, 45, 15
3, 7, 1, 27, 5, 23, 13
43, 45, 4, 30, 3, 10, 19
27, 42, 28, 23, 1, 30, 4
33, 20, 48, 11, 47, 15, 26
1, 21, 34, 20, 25, 19, 11
49, 6, 21, 45, 35, 8, 47
36, 24, 40, 40, 47, 39, 2
28, 40, 29, 21, 13, 41, 37
33, 22, 36, 40, 37, 45, 15
3, 33, 38, 29, 47, 3, 47
21, 33, 32, 38, 29, 4, 24
7, 3, 45, 16, 49, 30, 39
46, 9, 33, 36, 31, 36, 28
39, 1, 12, 37, 9, 1, 7
7, 24, 5, 2, 8, 5, 9
15, 20, 3, 49, 17, 21, 16
15, 40, 48, 39, 19, 9, 8
42, 28, 36, 8, 2, 28, 13
23, 26, 36, 8, 26, 46, 20
26, 46, 24, 45, 47, 34, 35
17, 13, 42, 10, 17, 14, 46
47, 35, 13, 37, 21, 37, 23
11, 41, 17, 4, 37, 9, 45
2, 49, 25, 2, 3, 35, 49
4, 16, 17, 14, 12, 47, 7
31, 25, 28, 10, 12, 35, 22
23, 17, 45, 46, 29, 46, 28
36, 30, 26, 9, 5, 5, 32
18, 43, 2, 38, 29, 23, 29
11, 38, 16, 14, 18, 49, 8
32, 20, 15, 23, 15, 26, 13
3, 7, 16, 37, 30, 47, 47
32, 22, 37, 2, 44, 45, 49
47, 1, 39, 17, 5, 3, 29
17, 26, 23, 12, 12, 25, 2
45, 41, 38, 46, 8, 39, 30
34, 15, 39, 36, 48, 38, 26
41, 4, 4, 8, 37, 28, 42
1, 27, 3, 18, 5, 30, 41
13, 47, 21, 17, 41, 38, 17
21, 2, 31, 26, 41, 21, 14
30, 20, 10, 47, 20, 10, 43
25, 35, 24, 22, 9, 42, 43
47, 9, 38, 28, 21, 29, 48
36, 45, 8, 42, 39, 39, 32
29, 33, 39, 46, 2, 38, 34
14, 9, 3, 6, 25, 28, 32
15, 15, 35, 28, 31, 31, 6
21, 46, 21, 4, 30, 18, 2
42, 46, 1, 43, 47, 16, 30
23, 13, 28, 40, 15, 4, 29
9, 27, 11, 16, 41, 13, 31
6, 17, 20, 38, 31, 14, 2
4, 28, 27, 25, 29, 20, 34
26, 48, 5, 45, 21, 10, 12
30, 27, 46, 11, 7, 45, 33
37, 26, 21, 12, 18, 23, 3
31, 22, 27, 46, 49, 27, 21
27, 34, 2, 14, 46, 36, 38
49, 5, 5, 31, 34, 11, 10
47, 46, 32, 24, 29, 44, 8
24, 49, 16, 45, 39, 38, 13
44, 5, 22, 37, 9, 8, 29
8, 17, 33, 17, 5, 41, 40
3, 2, 28, 15, 30, 42, 38
20, 47, 39, 40, 14, 31, 31
21, 33, 19, 9, 18, 32, 12
48, 9, 28, 27, 31, 24, 38
17, 37, 13, 34, 29, 29, 31
10, 4, 8, 43, 29, 23, 25
4, 10, 41, 49, 25, 11, 43
41, 16, 47, 29, 24, 14, 2
42, 28, 24, 35, 28, 35, 46
28, 3, 10, 39, 13, 27, 23
15, 23, 4, 33, 28, 16, 15
30, 38, 42, 9, 14, 18, 4
27, 8, 38, 11, 3, 36, 16
2, 40, 9, 38, 8, 47, 14
21, 44, 11, 26, 26, 33, 2
5, 49, 5, 26, 24, 31, 8
12, 6, 7, 11, 17, 7, 28
32, 20, 16, 46, 32, 7, 37
4, 16, 38, 49, 25, 32, 10
7, 9, 27, 34, 39, 32, 25
38, 35, 3, 42, 7, 5, 22
5, 40, 30, 19, 35, 15, 31
34, 7, 46, 7, 37, 32, 10
19, 20, 14, 37, 48, 17, 33
25, 27, 49, 2, 20, 46, 36
29, 49, 34, 36, 42, 18, 39
40, 39, 43, 24, 42, 12, 27
30, 26, 7, 35, 32, 3, 19
10, 12, 12, 21, 43, 33, 13
39, 16, 18, 3, 18, 33, 33
21, 37, 45, 33, 24, 1, 4
36, 28, 36, 37, 30, 1, 4
34, 7, 44, 44, 40, 31, 37
36, 17, 21, 17, 44, 12, 40
19, 25, 30, 13, 2, 44, 37
47, 19, 36, 44, 49, 7, 10
31, 41, 17, 36, 21, 44, 34
44, 33, 14, 39, 15, 14, 17
14, 27, 30, 20, 36, 18, 23
34, 7, 42, 39, 29, 21, 12
30, 13, 1, 21, 49, 17, 43
2, 13, 15, 49, 12, 19, 22
45, 7, 15, 44, 35, 14, 38
34, 48, 43, 26, 35, 36, 8
25, 40, 20, 14, 21, 18, 46
27, 20, 27, 4, 8, 1, 32
35, 4, 18, 30, 46, 48, 5
30, 21, 13, 21, 4, 42, 31
7, 12, 19, 1, 12, 31, 48
18, 3, 12, 9, 18, 39, 46
33, 20, 49, 47, 26, 7, 12
2, 11, 22, 29, 30, 11, 9
13, 29, 48, 14, 5, 36, 2
23, 49, 37, 14, 22, 21, 31
11, 46, 17, 4, 5, 36, 45
22, 33, 19, 1, 46, 4, 2
44, 2, 35, 10, 42, 27, 32
41, 27, 32, 44, 2, 37, 33
49, 46, 38, 10, 5, 20, 41
4, 43, 45, 27, 36, 11, 45
2, 15, 9, 31, 39, 3, 26
25, 26, 7, 17, 47, 40, 22
9, 22, 4, 42, 29, 46, 42
15, 17, 26, 2, 47, 1, 4
1, 2, 23, 35, 14, 29, 18
35, 31, 43, 9, 13, 22, 3
10, 15, 46, 13, 1, 25, 8
46, 23, 31, 14, 42, 25, 12
49, 46, 18, 31, 23, 5, 24
27, 22, 3, 9, 11, 24, 11
13, 34, 11, 6, 27, 16, 38
10, 26, 9, 21, 22, 20, 19
16, 14, 20, 12, 13, 44, 14
31, 24, 16, 23, 23, 10, 48
24, 25, 48, 14, 17, 37, 49
36, 28, 26, 21, 40, 9, 31
47, 27, 13, 25, 22, 30, 43
10, 29, 30, 11, 13, 9, 38
37, 35, 1, 15, 26, 12, 16
8, 1, 36, 24, 42, 7, 2
39, 16, 17, 49, 4, 46, 27
35, 30, 3, 31, 34, 22, 19
14, 46, 19, 26, 31, 38, 21
2, 15, 31, 26, 38, 4, 1
12, 33, 12, 49, 28, 23, 9
35, 40, 2, 12, 37, 36, 5
28, 23, 3, 32, 41, 47, 40
33, 48, 16, 45, 25, 29, 11
13, 43, 26, 38, 44, 41, 46
21, 23, 24, 3, 34, 27, 15
20, 15, 17, 32, 30, 42, 13
21, 40, 16, 40, 36, 5, 6
12, 1, 9, 47, 6, 37, 16
1, 31, 39, 35, 28, 22, 25
14, 4, 45, 10, 49, 34, 22
49, 37, 42, 15, 42, 10, 44
16, 38, 8, 46, 45, 3, 14
19, 23, 34, 9, 13, 12, 5
3, 49, 16, 21, 13, 4, 19
20, 8, 2, 32, 31, 1, 43
43, 1, 5, 27, 45, 44, 32
7, 46, 15, 7, 41, 39, 20
7, 34, 30, 40, 43, 33, 47
32, 22, 32, 14, 6, 23, 14
42, 9, 11, 13, 26, 40, 14
21, 12, 3, 20, 28, 27, 2
34, 25, 26, 34, 44, 1, 31
41, 44, 10, 12, 20, 4, 2
40, 23, 38, 17, 18, 45, 17
13, 29, 2, 31, 14, 24, 22
34, 19, 41, 38, 13, 46, 34
41, 38, 24, 34, 39, 41, 43
23, 47, 26, 20, 2, 3, 3
32, 48, 17, 41, 31, 34, 16
28, 34, 10, 16, 42, 49, 6
27, 41, 13, 11, 45, 16, 48
10, 30, 44, 32, 29, 48, 13
44, 7, 21, 39, 32, 29, 12
45, 21, 49, 15, 20, 41, 37
24, 10, 2, 22, 6, 21, 5
15, 21, 25, 47, 30, 22, 6
30, 21, 33, 4, 32, 36, 49
20, 13, 39, 2, 10, 34, 12
17, 44, 33, 39, 6, 23, 35
32, 28, 14, 39, 38, 11, 21
28, 43, 29, 3, 46, 15, 35
8, 12, 15, 28, 37, 7, 40
28, 48, 10, 26, 25, 38, 44
19, 35, 16, 15, 28, 9, 31
4, 12, 1, 46, 8, 44, 6
18, 43, 35, 24, 27, 2, 41
35, 22, 47, 29, 45, 24, 46
2, 14, 38, 10, 41, 42, 37
15, 6, 45, 25, 10, 33, 42
16, 13, 29, 2, 5, 42, 17
30, 27, 29, 10, 32, 35, 1
28, 11, 10, 48, 39, 28, 25
22, 1, 32, 12, 19, 36, 8
23, 23, 5, 43, 31, 13, 20
6, 39, 19, 39, 23, 27, 40
1, 33, 9, 13, 40, 8, 21
27, 19, 49, 43, 19, 6, 15
5, 12, 24, 28, 15, 8, 15
5, 45, 28, 42, 32, 26, 40
27, 30, 14, 31, 29, 14, 11
41, 16, 25, 34, 38, 7, 32
24, 31, 32, 17, 34, 28, 47
21, 32, 48, 1, 38, 26, 17
2, 13, 26, 26, 29, 46, 10
33, 46, 9, 17, 18, 49, 10
42, 36, 24, 42, 12, 19, 4
6, 42, 49, 20, 47, 45, 35
3, 38, 7, 27, 45, 24, 31
6, 48, 18, 34, 27, 37, 18
33, 35, 3, 3, 15, 43, 18
20, 45, 40, 4, 25, 22, 30
35, 25, 46, 16, 29, 6, 6
1, 28, 36, 31, 27, 24, 32
39, 3, 30, 22, 41, 46, 6
23, 30, 25, 10, 31, 25, 33
41, 22, 6, 41, 45, 25, 43
15, 23, 7, 40, 33, 37, 32
20, 27, 34, 20, 35, 49, 26
40, 19, 40, 7, 18, 25, 26
29, 31, 27, 33, 43, 12, 42
40, 45, 32, 49, 31, 37, 11
27, 34, 30, 33, 37, 10, 24
19, 2, 24, 3, 45, 4, 12
2, 37, 38, 43, 8, 14, 13
21, 26, 5, 33, 21, 26, 27
20, 13, 42, 5, 30, 8, 45
26, 7, 45, 30, 26, 40, 14
5, 42, 20, 23, 10, 43, 26
2, 46, 22, 39, 12, 31, 7
30, 20, 21, 27, 32, 12, 48
25, 13, 47, 27, 22, 6, 39
46, 17, 43, 5, 27, 22, 15
4, 48, 1, 45, 3, 3, 48
5, 28, 23, 2, 8, 5, 7
21, 43, 47, 8, 25, 31, 39
42, 2, 22, 5, 5, 8, 41
31, 48, 49, 46, 2, 18, 38
49, 19, 10, 2, 35, 30, 19
45, 26, 37, 5, 21, 37, 8
18, 41, 17, 30, 6, 39, 17
43, 2, 48, 22, 48, 19, 39
49, 7, 38, 12, 32, 10, 41
45, 19, 49, 24, 48, 14, 20
26, 46, 30, 44, 8, 4, 3
28, 22, 14, 12, 39, 27, 5
11, 33, 19, 25, 30, 3, 32
13, 39, 43, 8, 19, 17, 11
31, 15, 15, 31, 13, 23, 20
27, 35, 49, 46, 14, 1, 36
12, 1, 33, 3, 22, 12, 45
35, 10, 5, 20, 38, 10, 49
45, 8, 34, 2, 21, 18, 8
49, 26, 21, 2, 46, 40, 24
48, 6, 28, 34, 45, 37, 27
4, 14, 37, 18, 40, 26, 1
20, 31, 16, 38, 3, 8, 19
44, 22, 36, 19, 20, 13, 15
20, 45, 39, 47, 34, 24, 12
27, 25, 46, 40, 22, 10, 48
40, 13, 19, 30, 5, 20, 12
19, 38, 45, 41, 13, 44, 47
9, 49, 39, 42, 16, 33, 29
21, 3, 35, 41, 13, 14, 47
2, 28, 45, 28, 36, 35, 12
35, 2, 47, 13, 8, 29, 43
2, 14, 2, 40, 8, 30, 29
16, 30, 24, 25, 28, 27, 10
7, 23, 7, 7, 23, 33, 28
29, 17, 18, 23, 17, 9, 24
6, 22, 4, 23, 25, 33, 33
31, 18, 6, 17, 10, 48, 7
